04/10/2025|Layer Feed|50|18.50
04/18/2025|Layer Feed|50|18.75
04/27/2025|Layer Feed|50|19.00
05/06/2025|Layer Feed|50|19.25
05/15/2025|Layer Feed|50|19.50
05/24/2025|Layer Feed|50|19.75
06/02/2025|Layer Feed|50|20.00
06/11/2025|Layer Feed|50|20.25
06/20/2025|Layer Feed|50|20.50
06/29/2025|Layer Feed|50|20.75
07/08/2025|Layer Feed|50|21.00
07/17/2025|Layer Feed|50|21.25
07/26/2025|Layer Feed|50|21.50
08/04/2025|Layer Feed|50|21.75
08/13/2025|Layer Feed|50|22.00
08/22/2025|Layer Feed|50|22.25
08/31/2025|Layer Feed|50|22.50
09/09/2025|Layer Feed|50|22.75
09/18/2025|Layer Feed|50|23.00
09/27/2025|Layer Feed|50|23.25
10/06/2025|Layer Feed|50|23.50
10/15/2025|Layer Feed|50|23.75
10/24/2025|Layer Feed|50|24.00
11/02/2025|Layer Feed|50|24.25
11/11/2025|Layer Feed|50|24.50
11/20/2025|Layer Feed|50|24.75
11/29/2025|Layer Feed|50|25.00
12/08/2025|Layer Feed|50|25.25
12/17/2025|Layer Feed|50|25.50
12/26/2025|Layer Feed|50|25.75
01/04/2026|Layer Feed|50|26.00
01/13/2026|Layer Feed|50|26.25
01/22/2026|Layer Feed|50|26.50
01/31/2026|Layer Feed|50|26.75
02/09/2026|Layer Feed|50|27.00
02/18/2026|Layer Feed|50|27.25
02/27/2026|Layer Feed|50|27.50
03/08/2026|Layer Feed|50|27.75
03/17/2026|Layer Feed|50|28.00
03/26/2026|Layer Feed|50|28.25
04/04/2026|Layer Feed|50|28.50
